Test Name,Test Link,Remote Testing,Adaptive/IRT,Test Type,Duration (min)
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,Yes,Yes,Cognitive,49.0
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,Yes,Yes,Aptitude,36.0
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,Yes,Yes,Aptitude,51.0
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Yes,No,Behavioral,30.0
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Yes,No,Behavioral,20.0
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,Yes,No,Aptitude,35.0
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,Yes,No,Aptitude,45.0
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,Yes,Yes,Aptitude,45.0
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Yes,Yes,Behavioral,43.0
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,Yes,Yes,Personality,49.0
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,Yes,No,Aptitude,50.0
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,Yes,Yes,Behavioral,28.0
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,Yes,No,Aptitude,0.0
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,Yes,Yes,Knowledge,30.0
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,Yes,No,Knowledge,17.0
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,Yes,No,Knowledge,5.0
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,Yes,No,Knowledge,11.0
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,Yes,No,Knowledge,9.0
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,Yes,No,Knowledge,5.0
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,Yes,No,Knowledge,9.0
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Yes,No,Skills,8.0
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Yes,No,Knowledge,13.0
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,No,Skills,8.0
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,Yes,No,Knowledge,10.0
Claims/Operations Supervisor Solution,https://www.shl.com/products/product-catalog/view/claimsoperations-supervisor-solution/,Yes,Yes,Personality,48.0
Contact Center Customer Service + 8.0,https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0/,Yes,No,Aptitude,41.0
Contact Center Customer Service 8.0,https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0-4269/,Yes,No,Skills,31.0
Contact Center Manager - Short Form,https://www.shl.com/products/product-catalog/view/contact-center-manager-short-form/,Yes,Yes,Aptitude,50.0
Contact Center Sales & Service + 8.0,https://www.shl.com/products/product-catalog/view/contact-center-sales-and-service-8-0/,Yes,No,Personality,41.0
Contact Center Sales & Service 8.0,https://www.shl.com/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,Yes,No,Skills,31.0
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/products/product-catalog/view/contact-center-team-leadcoach-short-form/,Yes,Yes,Aptitude,45.0
Contact Centre Agent Solution - UK,https://www.shl.com/products/product-catalog/view/contact-centre-agent-solution-uk/,Yes,No,Aptitude,39.0
Customer Service - Short Form,https://www.shl.com/products/product-catalog/view/customer-service-short-form/,Yes,Yes,Aptitude,42.0
Customer Service - Short Form - UK,https://www.shl.com/products/product-catalog/view/customer-service-short-form-uk/,Yes,Yes,Aptitude,42.0
Customer Service with Sales - Short Form,https://www.shl.com/products/product-catalog/view/customer-service-with-sales-short-form/,Yes,Yes,Aptitude,44.0
Director - Short Form,https://www.shl.com/products/product-catalog/view/director-short-form/,Yes,Yes,Aptitude,69.0
District/Regional Manager Solution,https://www.shl.com/products/product-catalog/view/districtregional-manager-solution/,Yes,Yes,Aptitude,65.0
Entry Level Cashier 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28americas%29/,Yes,No,Behavioral,18.0
Entry Level Cashier 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-cashier-7-1-%28international%29/,Yes,No,Aptitude,18.0
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,Yes,No,Cognitive,19.0
Entry Level Customer Service 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,Yes,No,Cognitive,19.0
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,Yes,No,Cognitive,19.0
Entry level Sales 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,Yes,No,Behavioral,20.0
Entry level Sales 7.1 (International),https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1/,Yes,No,Personality,20.0
Entry Level Sales Sift Out 7.1,https://www.shl.com/products/product-catalog/view/entry-level-sales-sift-out-7-1/,Yes,No,Cognitive,20.0
Event Sales Manager Solution,https://www.shl.com/products/product-catalog/view/event-sales-manager-solution/,Yes,Yes,Skills,50.0
Executive - Short Form,https://www.shl.com/products/product-catalog/view/executive-short-form/,Yes,Yes,Aptitude,74.0
Financial Professional - Short Form,https://www.shl.com/products/product-catalog/view/financial-professional-short-form/,Yes,No,Aptitude,35.0
Financial Services Representative Solution,https://www.shl.com/products/product-catalog/view/financial-services-representative-solution/,Yes,No,Aptitude,44.0
Front Desk Associate Solution,https://www.shl.com/products/product-catalog/view/front-desk-associate-solution/,Yes,Yes,Aptitude,50.0
Gaming Associate Solution,https://www.shl.com/products/product-catalog/view/gaming-associate-solution/,Yes,Yes,Aptitude,50.0
Gaming Manager Solution,https://www.shl.com/products/product-catalog/view/gaming-manager-solution/,Yes,Yes,Skills,55.0
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,Yes,No,Behavioral,19.0
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,Yes,No,Behavioral,19.0
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,Yes,No,Behavioral,19.0
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,Yes,No,Behavioral,24.0
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment/,Yes,No,Aptitude,30.0
Graduate 7.1 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-7-1-job-focused-assessment/,Yes,No,Behavioral,19.0
